# Словарь для импорта: english | русский
# Уклон в общеупотребительную + техническую/программистскую лексику.

# === Глаголы: базовые действия ===
to make | делать / создавать
to do | делать
to get | получать
to go | идти / ехать
to come | приходить
to take | брать
to give | давать
to put | класть / помещать
to keep | держать / сохранять
to let | позволять
to begin | начинать
to start | начинать / запускать
to finish | заканчивать
to end | заканчивать
to stop | останавливать
to continue | продолжать
to try | пытаться
to use | использовать
to work | работать
to play | играть
to run | бежать / запускать
to walk | ходить
to move | двигать / перемещать
to turn | поворачивать
to open | открывать
to close | закрывать
to build | строить / собирать
to break | ломать
to fix | чинить / исправлять
to change | менять
to add | добавлять
to remove | удалять
to create | создавать
to destroy | уничтожать
to choose | выбирать
to select | выбирать
to pick | выбирать / подбирать
to find | находить
to search | искать
to look | смотреть
to see | видеть
to watch | смотреть / наблюдать
to hear | слышать
to listen | слушать
to feel | чувствовать
to think | думать
to know | знать
to understand | понимать
to learn | учить / узнавать
to teach | учить / преподавать
to remember | помнить
to forget | забывать
to believe | верить
to mean | означать
to matter | иметь значение
to need | нуждаться
to want | хотеть
to wish | желать
to hope | надеяться
to like | нравиться
to love | любить
to hate | ненавидеть
to prefer | предпочитать
to decide | решать
to agree | соглашаться
to refuse | отказывать
to allow | разрешать
to deny | отрицать / отказывать
to accept | принимать
to reject | отклонять
to admit | признавать
to explain | объяснять
to describe | описывать
to tell | рассказывать
to say | говорить
to speak | говорить
to talk | разговаривать
to ask | спрашивать
to answer | отвечать
to reply | отвечать
to call | звонить / вызывать
to write | писать
to read | читать
to draw | рисовать
to paint | красить / рисовать
to show | показывать
to hide | прятать
to appear | появляться
to disappear | исчезать
to happen | случаться
to occur | происходить
to seem | казаться
to become | становиться
to grow | расти
to develop | развивать
to improve | улучшать
to increase | увеличивать
to decrease | уменьшать
to reduce | сокращать
to raise | поднимать
to lower | понижать
to rise | подниматься
to fall | падать
to drop | ронять / падать
to throw | бросать
to catch | ловить
to hold | держать
to carry | нести
to bring | приносить
to send | отправлять
to receive | получать
to deliver | доставлять
to buy | покупать
to sell | продавать
to pay | платить
to cost | стоить
to spend | тратить
to save | экономить / сохранять
to earn | зарабатывать
to win | выигрывать
to lose | проигрывать / терять
to gain | приобретать
to share | делиться
to join | присоединять
to connect | соединять
to link | связывать
to attach | прикреплять
to separate | разделять
to divide | делить
to combine | объединять
to mix | смешивать
to fill | заполнять
to empty | опустошать
to cover | покрывать
to wrap | оборачивать
to cut | резать
to tear | рвать
to press | нажимать
to push | толкать
to pull | тянуть
to lift | поднимать
to drag | тащить / перетаскивать
to drop off | высаживать / завозить
to support | поддерживать
to help | помогать
to serve | обслуживать / служить
to manage | управлять
to control | контролировать
to lead | вести / руководить
to follow | следовать
to guide | направлять
to order | заказывать / приказывать
to command | командовать
to require | требовать
to demand | требовать
to provide | предоставлять
to offer | предлагать
to suggest | предлагать
to recommend | рекомендовать
to advise | советовать
to warn | предупреждать
to remind | напоминать
to promise | обещать
to plan | планировать
to prepare | готовить
to arrange | организовывать
to organize | организовывать
to collect | собирать
to gather | собирать
to sort | сортировать
to arrange | упорядочивать
to compare | сравнивать
to match | сопоставлять
to measure | измерять
to count | считать
to calculate | вычислять
to estimate | оценивать
to check | проверять
to verify | проверять
to confirm | подтверждать
to test | тестировать
to prove | доказывать
to show off | хвастаться
to notice | замечать
to recognize | распознавать
to identify | определять
to discover | обнаруживать
to detect | обнаруживать
to report | сообщать / докладывать
to announce | объявлять
to publish | публиковать
to share out | распределять
to spread | распространять
to avoid | избегать
to prevent | предотвращать
to protect | защищать
to defend | защищать
to attack | атаковать
to fight | бороться
to escape | сбегать
to hide away | укрывать
to return | возвращать
to repeat | повторять
to replace | заменять
to update | обновлять
to upgrade | повышать / улучшать
to restore | восстанавливать
to recover | восстанавливаться
